"miRNAs"	"n_geneset"	"hyper_pval"	"rFDRc_q"
"dme-miR-33-3p"	6	0.000605749689616416	0.10676265330338
"dme-miR-2283-5p"	7	0.0016088509034265	0.108580666793355
"dme-miR-2279-5p"	7	0.00194298056242039	0.121122251755022
"dme-miR-973-3p"	3	0.00537948423359714	0.151105060245599
"dme-miR-210-5p"	4	0.0058751560405193	0.180304817016914
"dme-miR-2280-3p"	5	0.00605415940010443	0.187196334864519
"dme-miR-252-5p"	4	0.00743282045345533	0.188489209704647
"dme-miR-4951-5p"	2	0.00869264943364419	0.193925506904858
"dme-miR-2497-5p"	3	0.012220505088643	0.200456888989357
"dme-miR-263b-3p"	3	0.0122595140621283	0.201996060144638
"dme-miR-7-3p"	6	0.0125761163893087	0.204050893630847
"dme-miR-2283-3p"	3	0.0148691739995256	0.206396856294601
"dme-miR-1008-5p"	6	0.0149856699463626	0.208307507331827
"dme-miR-964-3p"	4	0.0158890287356211	0.21103467246617
"dme-miR-983-3p"	3	0.0159431090709239	0.211914345109002
"dme-miR-4941-3p"	2	0.0199273976169415	0.214230925665714
"dme-miR-1013-3p"	4	0.0203460902025163	0.216859953600188
"dme-miR-9380-3p"	2	0.0217848945053179	0.21877775783365
"dme-miR-4953-3p"	6	0.0222162939728116	0.225685008282897
"dme-miR-4944-5p"	3	0.0239701584565318	0.237851239753091
"dme-miR-303-3p"	4	0.0354088030056532	0.260428885135794
"dme-miR-4977-3p"	2	0.0399171333032424	0.300809383692669
"dme-miR-2501-3p"	2	0.0428083938019099	0.308593455188246
"dme-miR-989-3p"	2	0.043790138134711	0.314548031779555
"dme-miR-1002-5p"	3	0.0441544138778116	0.320487579619446
"dme-miR-100-5p"	1	0.0452825330531332	0.323467637069921
"dme-miR-1016-5p"	3	0.0499932847876592	0.327025855062496
"dme-miR-252-3p"	2	0.0546975050195304	0.334683927636116
"dme-miR-957-5p"	4	0.0573898921068458	0.346161977630707
"dme-miR-4944-3p"	3	0.0621534579219301	0.355678930780705
"dme-miR-133-5p"	2	0.0658532598007655	0.368172291527681
"dme-miR-4943-5p"	7	0.0675813884226753	0.373169239699799
"dme-miR-1004-5p"	2	0.0796891130300183	0.390550929965134
"dme-miR-4975-5p"	3	0.0805529764777186	0.412060010435203
"dme-miR-184-5p"	2	0.0816396157993323	0.41344151843089
"dme-miR-33-5p"	3	0.084406694941022	0.415467918446591
"dme-miR-289-5p"	5	0.0868456384200921	0.419170588244191
"dme-miR-4979-5p"	4	0.0915859441030986	0.421124502087838
"dme-miR-10-5p"	1	0.0954647255367064	0.422938025047897
"dme-miR-2a-1-5p"	2	0.095549835813537	0.42518481604102
"dme-miR-980-5p"	4	0.0993072246016909	0.425624895290829
"dme-miR-966-5p"	2	0.101430045183666	0.426264164429912
"dme-miR-1009-3p"	2	0.102773511515106	0.429171342266754
"dme-miR-279-5p"	2	0.10957448815864	0.435235454457413
"dme-miR-4916-3p"	3	0.117270890575399	0.446798786254361
