miRNAs	n_geneset	hyper_pval
dme-miR-263b-5p	2	0.44444368110706317
dme-miR-133-3p	1	0.3070321328260052
dme-miR-316-5p	0	
dme-miR-1011-3p	3	0.3155985820204221
dme-miR-956-3p	1	0.6265201675086491
dme-miR-2489-3p	5	0.20664586436875892
dme-miR-4946-5p	5	0.41116282896923106
dme-miR-4976-5p	0	
dme-miR-284-5p	1	0.5379025982784854
dme-miR-1005-3p	1	0.4952382573846597
dme-miR-79-5p	1	0.7719350120240208
dme-miR-4967-5p	4	0.45347533944387725
dme-miR-4982-3p	1	0.6150200580858279
dme-miR-929-5p	1	0.8672283268387486
dme-miR-4950-5p	1	0.6025516345944827
dme-miR-280-5p	6	0.2957705201863024
dme-miR-2494-3p	0	
dme-miR-4911-3p	10	0.002712820856261899
dme-miR-956-5p	5	0.20213861850515544
dme-miR-4947-5p	3	0.019966930898787077
dme-miR-9370-5p	6	0.009654712666065764
dme-miR-7-3p	10	0.0545777345598019
dme-miR-315-3p	2	0.604009284016628
dme-miR-34-5p	4	0.007286014093304674
dme-miR-1000-5p	6	0.07946866964796057
dme-miR-310-5p	1	0.5023385721150472
dme-miR-4940-5p	1	0.4123468938968798
dme-miR-4956-3p	1	0.620508788743896
dme-miR-2280-3p	7	0.0496881264548184
dme-miR-9373-3p	1	0.5400886582067724
dme-miR-980-5p	7	0.18125856110267213
dme-miR-982-3p	5	0.009932702744233027
dme-miR-2492-5p	1	0.6524695134857195
dme-miR-193-5p	2	0.36410449678368767
dme-miR-2492-3p	7	0.23670167901931016
dme-miR-4975-5p	8	0.0029378154226682904
dme-miR-4953-3p	10	0.1054277971511699
dme-miR-2499-3p	1	0.48156316799985904
dme-miR-10-3p	2	0.7761723233197827
dme-miR-1006-3p	2	0.7710168204064646
dme-miR-277-3p	4	0.39139765865530374
dme-miR-970-3p	2	0.21281202089664406
dme-miR-987-5p	5	0.11723091305254686
dme-miR-2498-5p	4	0.004125593196931349
dme-miR-1014-3p	8	0.006217757008213589
dme-miR-4983-3p	7	0.015241273833816677
dme-miR-9369-3p	5	0.4114967637643211
dme-miR-4958-5p	1	0.5717234655222513
dme-miR-4973-5p	1	0.47252781413452594
dme-miR-9381-3p	0	
dme-miR-124-3p	0	
dme-miR-79-3p	1	0.8296739123610305
dme-miR-9a-3p	1	0.8299566581690067
dme-miR-4943-5p	15	0.06166339361651869
dme-miR-9372-5p	1	0.8471533273781703
dme-miR-2283-5p	15	6.57418488421223e-05
dme-miR-289-5p	15	0.00015919359780682552
dme-miR-972-5p	14	0.0008136417840830204
dme-miR-4974-3p	10	0.028448616712478524
dme-miR-210-5p	2	0.6333666516413
dme-miR-1013-3p	5	0.16321325878562032
dme-miR-4949-5p	0	
dme-miR-279-3p	1	0.4339832839888194
dme-miR-286-3p	1	0.43575173975512643
dme-miR-996-3p	1	0.44971162510103335
dme-miR-978-5p	3	0.061085363024352565
dme-miR-283-3p	3	0.29574161451775277
dme-miR-9374-3p	0	
dme-miR-989-3p	0	
dme-miR-210-3p.1	0	
dme-miR-210-3p.2	5	0.0023650092101298445
dme-miR-955-5p	0	
dme-miR-307a-3p	1	0.41417951464324015
dme-miR-1-3p	1	0.6756581054410153
dme-miR-9378-3p	1	0.23971417982039234
dme-miR-4967-3p	6	0.07525815377189946
dme-miR-4984-5p	0	
dme-miR-4961-3p	7	0.13831751006747073
dme-miR-975-3p	0	
dme-miR-4939-3p	0	
dme-miR-973-3p	0	
dme-miR-2280-5p	2	0.2383357733197376
dme-miR-318-5p	2	0.18104884425345166
dme-miR-4-5p	5	0.11506753078853686
dme-miR-iab-8-3p	1	0.7154046938061929
dme-miR-991-3p	6	0.052790142914606264
dme-miR-9374-5p	0	
dme-miR-263a-3p	1	0.5200552708085339
dme-miR-972-3p	7	0.005965420562190312
dme-miR-4969-5p	4	0.07532727216116035
dme-miR-1003-5p	3	0.056034254635686856
dme-miR-4986-5p	3	0.08423357492514505
dme-miR-1008-5p	13	0.0022041331386272543
dme-miR-2279-5p	14	0.000531901222653355
dme-miR-959-3p	1	0.6519119481320899
dme-miR-9388-5p	6	0.28190522939869395
dme-let-7-3p	6	0.11475045349669682
dme-miR-1012-3p	1	0.5683133661801854
dme-miR-4-3p	1	0.8672283268387486
dme-miR-1017-3p	0	
dme-miR-3641-5p	3	0.1376438368796994
dme-miR-9c-3p	3	0.23360831171716692
dme-miR-4948-3p	0	
dme-miR-1006-5p	3	0.22989906768900226
dme-miR-9382-5p	2	0.15877324703697138
dme-miR-3644-5p	2	0.2997003430694907
dme-miR-4914-5p	2	0.30429227183449387
dme-miR-4910-5p	10	0.006977631195465978
dme-miR-3642-5p	3	0.09211073043164479
dme-miR-3643-5p	2	0.5610345331871915
dme-miR-2279-3p	0	
dme-miR-4909-3p	10	0.0012801250668056407
dme-miR-303-3p	5	0.2601494854029599
dme-miR-3645-5p	2	0.2870634094602593
dme-miR-190-5p	0	
dme-miR-965-3p	2	0.12130552559747053
dme-miR-7-5p	1	0.5054637176470987
dme-miR-9a-5p	2	0.48484329820944005
dme-miR-9b-5p	2	0.470333412075704
dme-miR-9c-5p	3	0.21036171669054976
dme-miR-137-3p	6	0.02260126088979089
dme-miR-315-5p	6	0.19728777436456024
dme-bantam-3p	1	0.38706723883647876
dme-miR-968-5p	0	
dme-miR-1002-5p	6	0.014656853760881636
dme-miR-iab-4-5p	1	0.699319989296101
dme-miR-971-3p	3	0.1924685001546667
dme-miR-999-3p	3	0.12829570419623548
dme-miR-960-5p	2	0.30543985178204347
dme-miR-12-5p	2	0.3071608827024481
dme-miR-281-2-5p	0	
dme-miR-124-5p	0	
dme-miR-285-5p	0	
dme-miR-2493-5p	1	0.3861113982622062
dme-miR-2493-3p	2	0.3499702019680029
dme-miR-4985-3p	1	0.23501218260725315
dme-miR-1001-3p	1	0.6983474269162014
dme-miR-9383-3p	3	0.02611779812147835
dme-miR-961-3p	5	0.2546409843567084
dme-miR-9377-3p	1	0.8049057990808515
dme-miR-961-5p	3	0.12966470083583118
dme-miR-4977-5p	8	0.0679671482375753
dme-miR-957-5p	8	0.03316512820427321
dme-miR-1000-3p	3	0.13834615978345216
dme-miR-4982-5p	5	0.07824599904783379
dme-miR-1002-3p	3	0.17200554024224915
dme-miR-6-1-5p	1	0.6217183699235398
dme-miR-31a-3p	2	0.15130615335736922
dme-miR-31b-3p	1	0.49603190792578045
dme-miR-4955-3p	2	0.11432504838108916
dme-miR-1-5p	1	0.5007689726844209
dme-miR-979-5p	1	0.510887910503446
dme-miR-309-5p	1	0.7217872748740113
dme-miR-981-5p	2	0.4920170342132977
dme-miR-3645-3p	3	0.28886801143538704
dme-miR-4958-3p	0	
dme-miR-988-5p	2	0.46457535538095374
dme-miR-927-3p	1	0.5851096660780272
dme-miR-1016-5p	6	0.018324712189438926
dme-miR-304-3p	1	0.8158693481314494
dme-miR-9b-3p	1	0.4984057527802357
dme-miR-2283-3p	0	
dme-miR-3644-3p	8	0.002700483159161253
dme-miR-974-3p	4	0.1481316615923153
dme-miR-8-5p	7	0.00033569154062616015
dme-miR-9371-3p	5	0.06998872704567356
dme-miR-4916-3p	4	0.3865754332126787
dme-miR-993-5p	0	
dme-miR-9384-3p	7	0.017294076134527846
dme-miR-4949-3p	0	
dme-miR-966-5p	2	0.4075594878549551
dme-miR-9378-5p	0	
dme-miR-9372-3p	1	0.6839050583019406
dme-miR-4979-5p	8	0.0719138749013553
dme-miR-287-3p	3	0.20955728394860393
dme-miR-964-3p	4	0.2940713792761539
dme-miR-4963-5p	1	0.8923432300078211
dme-miR-4984-3p	5	0.11810216013724904
dme-miR-4944-3p	4	0.21735220964583246
dme-miR-2501-5p	4	0.3473391298522164
dme-miR-314-5p	2	0.6961063922506159
dme-miR-4917-3p	1	0.5551182566479568
dme-miR-2494-5p	0	
dme-miR-986-5p	2	0.1971121259171912
dme-miR-276a-3p	1	0.45996554714735327
dme-miR-276b-3p	1	0.45996554714735327
dme-miR-10-5p	1	0.22193882736548343
dme-miR-283-5p	4	0.17698819001924163
dme-miR-263a-5p	1	0.5621100860995246
dme-miR-314-3p	2	0.3725420112244447
dme-miR-985-3p	8	0.03749116263500325
dme-miR-994-3p	4	0.0416095388885914
dme-miR-963-3p	2	0.22695501196310922
dme-miR-4983-5p	3	0.07695108162284695
dme-miR-4985-5p	2	0.48946130502494106
dme-miR-4955-5p	1	0.2774716289650559
dme-miR-2489-5p	2	0.5767512724916658
dme-miR-955-3p	5	0.1899523442539595
dme-miR-2497-3p	1	0.8310831888145228
dme-miR-2c-5p	2	0.4168767645658536
dme-miR-4951-3p	2	0.36973334058412166
dme-miR-997-5p	1	0.5579276206923374
dme-miR-9375-5p	0	
dme-miR-278-5p	0	
dme-miR-4977-3p	1	0.5676282580398344
dme-miR-9371-5p	2	0.2658103006855359
dme-miR-2490-3p	2	0.2974035435286887
dme-miR-9377-5p	2	0.3465658615552828
dme-miR-2491-5p	6	0.007123649443897779
dme-miR-2495-5p	0	
dme-miR-4966-3p	1	0.7345783944162306
dme-miR-4979-3p	4	0.07107290229969529
dme-miR-987-3p	0	
dme-miR-954-3p	1	0.7341467794700677
dme-miR-4950-3p	0	
dme-miR-4963-3p	3	0.3173306932189112
