	D	p-value
dme-miR-311-5p	1.0	0.0
dme-miR-955-3p	1.0	0.0
dme-miR-4970-5p	1.0	0.0
dme-miR-994-5p	1.0	0.0
dme-miR-4963-3p	0.9999999999686461	6.270783892148302e-11
dme-miR-9370-5p	0.9999999999999979	4.218847493575595e-15
dme-miR-285-5p	1.0	0.0
dme-miR-33-5p	1.0	0.0
dme-let-7-5p	1.0	0.0
dme-miR-9377-5p	0.9999999999999999	2.220446049250313e-16
dme-miR-4968-5p	1.0	0.0
dme-miR-9385-3p	1.0	0.0
dme-miR-4958-3p	1.0	0.0
dme-miR-977-5p	1.0	0.0
dme-miR-986-5p	1.0	0.0
dme-bantam-5p	1.0	0.0
dme-miR-4909-3p	0.9999999999999964	7.105427357601002e-15
dme-miR-13b-1-5p	0.9999999999999788	4.241051954068098e-14
dme-miR-955-5p	1.0	0.0
dme-miR-4982-5p	1.0	0.0
dme-miR-992-5p	0.9999999999999983	3.3306690738754696e-15
dme-miR-313-5p	1.0	0.0
dme-miR-4973-5p	1.0	0.0
dme-miR-977-3p	1.0	0.0
dme-miR-306-5p	1.0	0.0
dme-miR-960-5p	0.9999999999997607	4.785061236134425e-13
dme-miR-4941-3p	1.0	0.0
dme-miR-1008-3p	1.0	0.0
dme-miR-4948-5p	1.0	0.0
dme-miR-2a-2-5p	0.9999999999999984	3.1086244689504383e-15
dme-miR-4967-3p	0.9999999999999999	2.220446049250313e-16
dme-miR-1016-5p	0.9999999999514921	9.701572878384468e-11
dme-miR-124-3p	0.9999999999999535	9.303668946358812e-14
dme-miR-312-3p	0.9999999991660652	1.6678696201921639e-09
dme-miR-2499-3p	1.0	0.0
dme-miR-9384-5p	1.0	0.0
dme-miR-4949-3p	1.0	0.0
dme-miR-978-3p	0.9999999999999997	6.661338147750939e-16
dme-miR-5-3p	0.9999999999995804	8.391065620116933e-13
dme-miR-79-3p	0.9999999999977681	4.463762692807904e-12
dme-miR-4917-3p	0.9999999999999997	6.661338147750939e-16
dme-miR-1014-5p	0.9999999999999843	3.1308289294429414e-14
dme-miR-2283-3p	1.0	0.0
dme-miR-4944-5p	1.0	0.0
dme-miR-2496-5p	1.0	0.0
dme-miR-9382-5p	0.9999999999991486	1.7028600751700651e-12
dme-miR-14-3p	0.9999999999999485	1.0302869668521453e-13
dme-miR-4952-3p	1.0	0.0
dme-miR-274-3p	1.0	0.0
dme-miR-4972-5p	1.0	0.0
dme-miR-2493-5p	1.0	0.0
dme-miR-982-3p	0.9999999999995803	8.393286066166183e-13
dme-miR-4942-3p	1.0	0.0
dme-miR-9381-5p	1.0	0.0
dme-miR-4976-5p	1.0	0.0
dme-miR-4958-5p	1.0	0.0
dme-miR-985-5p	1.0	0.0
dme-miR-4977-3p	0.9999999999999994	1.1102230246251565e-15
dme-miR-279-5p	1.0	0.0
dme-miR-87-5p	1.0	0.0
dme-miR-281-1-5p	1.0	0.0
dme-miR-3641-3p	0.9999999999999735	5.306866057708248e-14
dme-miR-263b-5p	1.0	0.0
dme-miR-958-3p	0.9999999999911124	1.7775114713458606e-11
dme-miR-984-5p	1.0	0.0
dme-miR-966-5p	1.0	0.0
dme-miR-1002-5p	0.9999999999827442	3.4511504765077916e-11
dme-miR-991-5p	0.9999999999999916	1.687538997430238e-14
dme-miR-4916-3p	0.9999999999706373	5.872546893215258e-11
dme-miR-2a-2/2c	1.0	0.0
dme-miR-2492-5p	1.0	0.0
dme-miR-1012-3p	0.9999999999999784	4.3298697960381105e-14
dme-miR-13b-3p	0.9999999994406598	1.118680481582146e-09
dme-miR-3645-5p	1.0	0.0
dme-bantam-3p	0.9999999999999104	1.7918999617450027e-13
dme-miR-307a-3p	1.0	0.0
dme-miR-312-5p	0.9999999999999999	2.220446049250313e-16
dme-miR-137-5p	0.9999999999995209	9.5812247025151e-13
dme-miR-9369-3p	0.9999999999999999	2.220446049250313e-16
dme-miR-970-3p	1.0	0.0
dme-miR-974-3p	0.9999999998496569	3.0068614265132965e-10
dme-miR-4960-3p	1.0	0.0
dme-miR-973-5p	1.0	0.0
dme-miR-2283-5p	0.9999999999945889	1.0822231999441101e-11
dme-miR-3645-3p	0.9999999999995858	8.284484209752918e-13
dme-miR-307b-5p	0.999999999999995	9.992007221626409e-15
dme-miR-4955-3p	1.0	0.0
dme-miR-92a-5p	1.0	0.0
dme-miR-286-3p	1.0	0.0
dme-miR-184-3p	1.0	0.0
dme-miR-4976-3p	1.0	0.0
dme-miR-966-3p	1.0	0.0
dme-miR-2490-5p	1.0	0.0
dme-miR-999-5p	0.9999999999999961	7.771561172376096e-15
dme-miR-304-5p	0.999999999999985	2.9976021664879227e-14
dme-miR-2500-3p	1.0	0.0
dme-miR-31a-3p	1.0	0.0
dme-miR-2a-1-5p	0.9999999999999999	2.220446049250313e-16
dme-miR-4962-3p	0.9999999999999988	2.4424906541753444e-15
dme-miR-6-2-5p	1.0	0.0
