miRNAs	n_geneset	hyper_pval
dme-miR-263b-5p	0	
dme-miR-133-3p	0	
dme-miR-316-5p	1	0.5246130472293433
dme-miR-1011-3p	1	0.5646085013615467
dme-miR-956-3p	0	
dme-miR-2489-3p	0	
dme-miR-4946-5p	1	0.8473191173307968
dme-miR-4976-5p	0	
dme-miR-284-5p	0	
dme-miR-1005-3p	0	
dme-miR-79-5p	0	
dme-miR-4967-5p	3	0.14262492843010088
dme-miR-4982-3p	1	0.317264139807532
dme-miR-929-5p	2	0.17491378575782127
dme-miR-4950-5p	0	
dme-miR-280-5p	3	0.2675927677963561
dme-miR-2494-3p	0	
dme-miR-4911-3p	1	0.8345469718017536
dme-miR-956-5p	3	0.12077791173090846
dme-miR-4947-5p	0	
dme-miR-9370-5p	2	0.17781728504257582
dme-miR-7-3p	6	0.01257611638930871
dme-miR-315-3p	2	0.18455747571581696
dme-miR-34-5p	0	
dme-miR-1000-5p	1	0.7436837004760991
dme-miR-310-5p	0	
dme-miR-4940-5p	0	
dme-miR-4956-3p	0	
dme-miR-2280-3p	5	0.006054159400104427
dme-miR-9373-3p	0	
dme-miR-980-5p	4	0.09930722460169093
dme-miR-982-3p	1	0.43487228959912044
dme-miR-2492-5p	0	
dme-miR-193-5p	1	0.4073677484894581
dme-miR-2492-3p	4	0.12370461460474778
dme-miR-4975-5p	3	0.08055297647771859
dme-miR-4953-3p	6	0.022216293972811604
dme-miR-2499-3p	1	0.23099128944083688
dme-miR-10-3p	0	
dme-miR-1006-3p	0	
dme-miR-277-3p	2	0.3682172786146898
dme-miR-970-3p	1	0.29742492958296773
dme-miR-987-5p	1	0.6816103801193897
dme-miR-2498-5p	0	
dme-miR-1014-3p	1	0.7310413828448432
dme-miR-4983-3p	2	0.31093658256778905
dme-miR-9369-3p	3	0.22406510310582753
dme-miR-4958-5p	1	0.2875435036031728
dme-miR-4973-5p	1	0.22566064722526466
dme-miR-9381-3p	0	
dme-miR-124-3p	0	
dme-miR-79-3p	0	
dme-miR-9a-3p	0	
dme-miR-4943-5p	7	0.06758138842267528
dme-miR-9372-5p	1	0.5280907984118668
dme-miR-2283-5p	7	0.0016088509034264985
dme-miR-289-5p	5	0.08684563842009212
dme-miR-972-5p	4	0.25451090886346434
dme-miR-4974-3p	2	0.6972668982868414
dme-miR-210-5p	4	0.005875156040519299
dme-miR-1013-3p	4	0.02034609020251626
dme-miR-4949-5p	0	
dme-miR-279-3p	0	
dme-miR-286-3p	0	
dme-miR-996-3p	0	
dme-miR-978-5p	1	0.3128983120476126
dme-miR-283-3p	1	0.5509134743036095
dme-miR-9374-3p	0	
dme-miR-989-3p	2	0.043790138134711
dme-miR-210-3p.1	1	0.4418451230821895
dme-miR-210-3p.2	0	
dme-miR-955-5p	0	
dme-miR-307a-3p	0	
dme-miR-1-3p	0	
dme-miR-9378-3p	0	
dme-miR-4967-3p	0	
dme-miR-4984-5p	1	0.30630376791883307
dme-miR-4961-3p	3	0.25655207648732364
dme-miR-975-3p	0	
dme-miR-4939-3p	1	0.1427924465862874
dme-miR-973-3p	3	0.005379484233597138
dme-miR-2280-5p	1	0.317264139807532
dme-miR-318-5p	1	0.2715723512294928
dme-miR-4-5p	1	0.6793700821776332
dme-miR-iab-8-3p	1	0.39494637453298603
dme-miR-991-3p	1	0.7049469176202372
dme-miR-9374-5p	1	0.3297880831883646
dme-miR-263a-3p	0	
dme-miR-972-3p	1	0.6328385861657913
dme-miR-4969-5p	1	0.494971627351579
dme-miR-1003-5p	0	
dme-miR-4986-5p	0	
dme-miR-1008-5p	6	0.014985669946362615
dme-miR-2279-5p	7	0.0019429805624203921
dme-miR-959-3p	1	0.3442149473954793
dme-miR-9388-5p	2	0.5659012769008138
dme-let-7-3p	3	0.14511562915975462
dme-miR-1012-3p	0	
dme-miR-4-3p	1	0.5539222922457282
dme-miR-1017-3p	0	
dme-miR-3641-5p	1	0.4165367838682146
dme-miR-9c-3p	1	0.5045885581483555
dme-miR-4948-3p	0	
dme-miR-1006-5p	0	
dme-miR-9382-5p	0	
dme-miR-3644-5p	0	
dme-miR-4914-5p	0	
dme-miR-4910-5p	3	0.2670469394483273
dme-miR-3642-5p	1	0.3612500686345409
dme-miR-3643-5p	0	
dme-miR-2279-3p	1	0.19349633949664205
dme-miR-4909-3p	2	0.4463608653045567
dme-miR-303-3p	4	0.035408803005653154
dme-miR-3645-5p	1	0.3534045091560982
dme-miR-190-5p	0	
dme-miR-965-3p	0	
dme-miR-7-5p	0	
dme-miR-9a-5p	0	
dme-miR-9b-5p	0	
dme-miR-9c-5p	0	
dme-miR-137-3p	2	0.2367992788719207
dme-miR-315-5p	1	0.8331563526157241
dme-bantam-3p	0	
dme-miR-968-5p	1	0.3714461975277511
dme-miR-1002-5p	3	0.044154413877811625
dme-miR-iab-4-5p	0	
dme-miR-971-3p	0	
dme-miR-999-3p	1	0.40621280166871837
dme-miR-960-5p	1	0.36656997057056984
dme-miR-12-5p	1	0.3677921199961146
dme-miR-281-2-5p	1	0.22029770074472674
dme-miR-124-5p	1	0.22029770074472674
dme-miR-285-5p	0	
dme-miR-2493-5p	0	
dme-miR-2493-3p	1	0.3976828425661426
dme-miR-4985-3p	0	
dme-miR-1001-3p	0	
dme-miR-9383-3p	1	0.233403674710513
dme-miR-961-3p	2	0.41387918026598064
dme-miR-9377-3p	0	
dme-miR-961-5p	0	
dme-miR-4977-5p	2	0.5823658198372212
dme-miR-957-5p	4	0.05738989210684581
dme-miR-1000-3p	1	0.4172952361863171
dme-miR-4982-5p	2	0.24222995516775084
dme-miR-1002-3p	0	
dme-miR-6-1-5p	0	
dme-miR-31a-3p	0	
dme-miR-31b-3p	0	
dme-miR-4955-3p	1	0.21095784995964922
dme-miR-1-5p	0	
dme-miR-979-5p	0	
dme-miR-309-5p	1	0.40040847529417256
dme-miR-981-5p	0	
dme-miR-3645-3p	1	0.546062423192266
dme-miR-4958-3p	1	0.1427924465862874
dme-miR-988-5p	1	0.47455451344604527
