miRNAs	n_geneset	hyper_pval
dme-miR-263b-5p	2	0.5861502527639516
dme-miR-133-3p	0	
dme-miR-316-5p	3	0.4096419445791673
dme-miR-1011-3p	1	0.9330866319301063
dme-miR-956-3p	2	0.35703549959082514
dme-miR-2489-3p	2	0.9365831804425717
dme-miR-4946-5p	8	0.15946031728731166
dme-miR-4976-5p	0	
dme-miR-284-5p	0	
dme-miR-1005-3p	0	
dme-miR-79-5p	2	0.5615212094777774
dme-miR-4967-5p	8	0.06250958443460491
dme-miR-4982-3p	3	0.11849451409354793
dme-miR-929-5p	2	0.727359557258315
dme-miR-4950-5p	0	
dme-miR-280-5p	7	0.3795963880830591
dme-miR-2494-3p	0	
dme-miR-4911-3p	9	0.061251468757649426
dme-miR-956-5p	11	0.001208998470276955
dme-miR-4947-5p	0	
dme-miR-9370-5p	4	0.2411061997969751
dme-miR-7-3p	13	0.03003120791794375
dme-miR-315-3p	2	0.7449873310284042
dme-miR-34-5p	0	
dme-miR-1000-5p	5	0.38499688288169787
dme-miR-310-5p	1	0.5964264934372819
dme-miR-4940-5p	1	0.49905746273774937
dme-miR-4956-3p	1	0.7163163637233216
dme-miR-2280-3p	8	0.07483615210936864
dme-miR-9373-3p	1	0.6357712032006532
dme-miR-980-5p	11	0.02944588679775268
dme-miR-982-3p	4	0.0998133215059999
dme-miR-2492-5p	2	0.3895491167093427
dme-miR-193-5p	5	0.021715293338318932
dme-miR-2492-3p	11	0.048075976396405005
dme-miR-4975-5p	6	0.12654901338298113
dme-miR-4953-3p	12	0.13915259545989617
dme-miR-2499-3p	1	0.574383429483614
dme-miR-10-3p	3	0.7048831394322371
dme-miR-1006-3p	3	0.6979619953169051
dme-miR-277-3p	5	0.39383576823001654
dme-miR-970-3p	2	0.30999426132777147
dme-miR-987-5p	7	0.04895047249540027
dme-miR-2498-5p	0	
dme-miR-1014-3p	4	0.5692228393309546
dme-miR-4983-3p	5	0.29503363525336795
dme-miR-9369-3p	10	0.031155055133232086
dme-miR-4958-5p	3	0.09118209626003555
dme-miR-4973-5p	2	0.19644856831253596
dme-miR-9381-3p	1	0.38304259326082046
dme-miR-124-3p	1	0.657578795391045
dme-miR-79-3p	1	0.8999016342725764
dme-miR-9a-3p	1	0.9001176499761739
dme-miR-4943-5p	16	0.34355673796419867
dme-miR-9372-5p	1	0.9130481230459093
dme-miR-2283-5p	19	1.24552759425778e-05
dme-miR-289-5p	16	0.0028386628817358953
dme-miR-972-5p	15	0.008587380913957525
dme-miR-4974-3p	10	0.15733943068519957
dme-miR-210-5p	8	0.0038807637658697567
dme-miR-1013-3p	8	0.02970911895029709
dme-miR-4949-5p	1	0.5787104565475717
dme-miR-279-3p	0	
dme-miR-286-3p	0	
dme-miR-996-3p	0	
